letter,Term,Definition,Committee,lastRevision
A,Amphibole,"A mineral of the amphibole group, such as hornblende, anthophyllite, cummingtonite, tremolite, actinolite, riebeckite, glaucophane, arfvedsonite, etc.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Amphibole,A term sometimes used as a syn. of hornblende.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Amphibole,Ferromagnesian mineral group containing silica as double chain units and OH as an essential constituent.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Amplicon,A small sequence of DNA that has been amplified by PCR.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Amplicon,"A segment of DNA to be amplified (e.g., in PCR).",Biology (Biology / DNA),2018-02-23
A,Amplicon,Any fragment of replicating DNA.,Biology (Biology / DNA),2018-02-23
A,Amplicon,Any PCR amplification product.,Biology (Biology / DNA),2018-02-23
A,Amplification,"An increase in the number of copies of a specific DNA fragment; can be in vivo or in vitro. In forensic DNA testing laboratories, this refers to the use of the PCR technique to produce many more copies of DNA (typically alleles) at specific genetic loci.",Biology (Biology / DNA),2018-02-23
A,Amplified fragment length polymorphisms (AmpFLPs/AMP-FLPs),"Refers to the amplification of a segment of DNA that contains multiple copies of a DNA base pair sequence that is repeated in tandem; typically the number of repeats is variable in the population and is also referred to as VNTR (e.g., D1S80) having longer repeated sequences than STR sequences.",Biology (Biology / DNA),2018-02-23
A,Anaerobic,Growing in the absence of molecular oxygen (such as anaerobic bacteria).,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Anaerobic,Occurring in the absence of molecular oxygen (as a biochemical process).,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Anaerobic,The absence of molecular oxygen.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Analogous trait,A characteristic that is similar between two things that is not present in the last common ancestor or precedent of the group under comparison.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Analogy,A cognitive process that transfers information or meaning from one subject (the analog or source) to another subject (the target).,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Analysis,The measurement of analyte and/or evaluation of data.,Toxicology (Chemistry / Instrumental Analysis),2018-02-23
A,Analyst,"An individual who has successfully completed the organization's prerequisite training requirements for a specific forensic discipline and who is authorized to conduct and/or direct the analysis of forensic casework samples, interpret data, reach conclusions, and issue test reports concerning conclusions.",QIC (FSSB),2018-02-23
A,Analyst,"A designated person who: • examines and analyzes seized drugs or related materials, or directs such examinations to be done, • independently has access to unsealed evidence in order to remove samples from the evidentiary material for examination and, • as a consequence of such examinations, signs reports for court or other purposes.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Analyst (Breath alcohol),"An individual (however named) who conducts, directs or reviews Breath Alcohol Program activities, evaluates data [1] and reaches conclusions.[2] The analyst may testify to Breath Alcohol Program activities but does not provide interpretive opinions related to the results of toxicological tests.",Toxicology (Chemistry / Instrumental Analysis),2018-02-23
A,Analyst ,"An individual (however named) who conducts, directs or reviews the analysis of forensic toxicology samples, evaluates data1 and reaches conclusions;2 may sign a report for court or investigative purposes as a consequence of such examinations.  This person does not provide interpretive opinions related to the results of toxicological tests.",Toxicology (Chemistry / Instrumental Analysis),2018-02-23
A,Analyte,A chemical substance to be identified and/or measured.,Toxicology (Chemistry / Instrumental Analysis),2018-02-23
A,Analyte,The component of a system to be analyzed [IUPAC].,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Analytes,The analytes are the substances of interest that are being separated from the sample matrix by chromatography.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Analytical,"A set of standards, controls, and unknowns that are contemporaneously prepared, extracted, and analyzed in a particular sequence.",Toxicology (Chemistry / Instrumental Analysis),2018-02-23
A,Analytical documentation,"The documentation of procedures, standards, controls, and instruments used, observations made, results of tests performed, charts, graphs, photos, and other documentation used to support the analyst’s conclusions.",QIC (FSSB),2018-02-23
A,Analytical notes,"A record of original observations that consists of any examination documentation created or used during laboratory testing; may include written notes, photography, measurement data, statistical analysis, digital scanning, and radiology.",Anthropology (Crime Scene / Death Investigation),2018-02-23
A,Analytical procedure,"An orderly step-by-step process designed to provide reproducible, accurate results.",QIC (FSSB),2018-02-23
A,Analytical threshold,"A ""Relative Fluorescence Units"" (RFU) level determined to be appropriate for use in the PCR/STR DNA typing process; a minimum threshold for data comparison is identified by the specific forensic laboratory through validation studies.",Biology (Biology / DNA),2018-02-23
A,Analytical threshold,The minimum height requirement at and above which detected peaks on a STR DNA profile electropherogram can be reliably distinguished from instrument background noise; peaks above this threshold are generally not considered noise and are either artifacts or true alleles.,Biology (Biology / DNA),2018-02-23
A,Analyze,"To examine, measure, or  test  the properties of a material for evaluation purposes.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Anatomical method,"A method of estimating stature that involves measuring all bones constituting the components of stature, summing those measurements, and correcting for the missing soft tissue.",Anthropology (Crime Scene / Death Investigation),2018-02-23
A,Anatomical specimens,"Skeletal specimens deliberately treated for curation, analysis, or teaching.",Anthropology (Crime Scene / Death Investigation),2018-02-23
A,Ancestry,The geographic region and/or the ancestral origin of a group or individual.,Anthropology (Crime Scene / Death Investigation),2018-02-23
A,Ancestry estimation,Classification of an unknown skeleton into a particular ancestry group or population.,Anthropology (Crime Scene / Death Investigation),2018-02-23
A,Andic,"Soil properties related to volcanic origin of materials. The properties include organic carbon content, bulk density, phosphate retention, and iron and aluminum extractable with ammonium oxalate.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Anesthetic,A substance producing either local or general loss of sensation.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,ANFO,"A high explosive mixture of ammonium nitrate (AN) and fuel oil (FO), generally FO is 1 to 20wt%.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
